top - 15:37:15 up 4 days,  2:05,  1 user,  load average: 2.79, 2.01, 2.02
Tasks: 365 total,   2 running, 341 sleeping,  22 stopped,   0 zombie
%Cpu(s): 33.3 us,  4.5 sy,  0.0 ni, 60.6 id,  1.5 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7848.4 total,    359.3 free,   5789.9 used,   1699.1 buff/cache
MiB Swap:   2048.0 total,    102.1 free,   1945.9 used.    547.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 194652 art       20   0 4341116 680356  40888 S   0.0   8.5 116:24.22 zoom
  15759 art       20   0   33.1g 435036 240492 S   0.0   5.4  58:09.04 chrome
   1807 art       20   0 4964208 319996  54500 S   6.2   4.0  92:45.06 gnome-shell
 219411 art       20   0 1130.9g 307356  99496 S   0.0   3.8   0:27.42 chrome
 219808 art       20   0  370152 293284   1600 T   0.0   3.6   0:07.47 cc1plus
  16813 art       20   0 1131.0g 284068  78488 S   0.0   3.5  14:30.15 chrome
  15802 art       20   0   32.9g 230324 151164 S   0.0   2.9  47:27.12 chrome
 200558 art       20   0   54.5g 230248  36996 S   6.2   2.9  29:59.97 code
  15895 art       20   0 1130.9g 225600  40928 S   0.0   2.8   4:12.02 chrome
 197101 art       20   0 1131.1g 223984  34464 S   6.2   2.8   5:53.31 slack
 221353 art       20   0 1134.9g 214868 109508 S   0.0   2.7   0:07.48 chrome
 218979 art       20   0 1130.9g 164680  65404 S   0.0   2.0   0:12.76 chrome
 222260 art       20   0 1130.9g 162684 108296 S   0.0   2.0   0:02.99 chrome
 222332 art       20   0 1130.9g 159132 111448 S   0.0   2.0   0:02.55 chrome
 222309 art       20   0 1130.9g 156084 112600 S   0.0   1.9   0:04.11 chrome
 222014 art       20   0  152216 144264   1936 R  93.8   1.8   3:30.33 a.out
 220874 art       20   0  150212 142096   1456 T   0.0   1.8   1:29.33 a.out
 200778 art       20   0 4308540 131388   2168 S   0.0   1.6   1:04.78 cpptools-srv
 219513 art       20   0 1130.9g 129568  86852 S   0.0   1.6   0:03.24 chrome
 200600 art       20   0   36.4g 127264  13764 S   0.0   1.6   1:16.57 code
 220138 art       20   0  132444 124356   1492 T   0.0   1.5   0:27.04 a.out
 214919 art       20   0  132360 123724   1320 T   0.0   1.5   4:24.73 a.out
 219229 art       20   0  128860 120232   1368 T   0.0   1.5   0:47.87 a.out
  18393 art       20   0 1130.9g 111164  56168 S   0.0   1.4   2:01.16 chrome
 219674 art       20   0  119448 110764   1400 T   0.0   1.4   0:29.29 a.out
 209873 art       20   0 1130.9g 106528  60736 S   0.0   1.3   0:02.38 chrome
 219027 art       20   0 1130.9g 106232  81940 S   0.0   1.3   0:02.46 chrome
   1660 art       20   0  926144 102764  30100 S  12.5   1.3  68:26.92 Xorg
 221064 art       20   0 1130.9g 101212  80076 S   0.0   1.3   0:01.09 chrome
 200531 art       20   0   32.6g 100872  33720 S   0.0   1.3  11:48.58 code
  16389 art       20   0 1132.9g  96284  56632 S   0.0   1.2   1:16.53 chrome
