Index	ID	Freq	iHH_0	iHH_1	iHS	Std iHS
250	250	0.00562149	76.1674	103.15	-0.303247	0.224619
268	268	0.00671455	76.1532	63.6312	0.179644	0.628337
276	276	0.00608994	76.6747	98.0809	-0.24622	0.272296
292	292	0.0777639	88.3706	115.543	-0.268101	0.141482
306	306	0.0062461	71.6215	73.085	-0.0202277	0.461236
310	310	0.00843223	69.7735	122.643	-0.564024	0.0065978
313	313	0.00921299	70.1433	126.839	-0.592379	-0.0171083
332	332	0.0935353	76.6782	138.557	-0.591664	-1.16375
333	333	0.0961899	76.7607	134.33	-0.559609	-1.12287
347	347	0.0103061	82.7582	68.7291	0.18575	0.633442
351	351	0.0062461	82.3135	75.8919	0.0812251	0.546055
355	355	0.119144	94.1508	130.476	-0.32629	-0.848971
364	364	0.0062461	88.4764	82.6494	0.0681287	0.535106
366	366	0.00827608	88.9222	155.705	-0.560201	0.00979386
369	369	0.0103061	89.2266	145.347	-0.487944	0.0702037
370	370	0.0181137	90.0097	111.024	-0.209831	0.302719
372	372	0.559963	117.358	151.311	-0.254108	-1
376	376	0.00530918	79.7098	151.716	-0.643619	-0.0599476
377	377	0.617114	119.995	155.083	-0.256514	1
380	380	0.00718301	76.9676	146.055	-0.640601	-0.057424
381	381	0.632573	130.496	152.769	-0.157586	-1.95924
383	383	0.00484072	117.634	164.471	-0.335162	0.197936
396	396	0.00687071	119.111	149.322	-0.226052	0.289158
404	404	0.00593379	120.133	135.714	-0.121947	0.376194
413	413	0.00827608	131.579	331.64	-0.924445	-0.294731
417	417	0.0103061	132.418	119.513	0.102537	0.563873
427	427	0.00874453	132.87	151.484	-0.131105	0.368537
431	431	0.0465334	139.442	168.682	-0.190365	0.81164
433	433	0.00640225	134.744	150.954	-0.113593	0.383178
435	435	0.108838	157.677	158.056	-0.00240327	-0.439927
446	446	0.00530918	144.875	216.341	-0.400985	0.142905
450	450	0.00968145	146.164	185.629	-0.239023	0.278313
451	451	0.00421611	144.604	102.374	0.345363	0.766886
458	458	0.0065584	145.631	115.594	0.230997	0.671271
461	461	0.00921299	146.125	127.137	0.139196	0.594522
468	468	0.0124922	147.549	200.645	-0.307379	0.221165
469	469	0.00999375	146.7	277.989	-0.639189	-0.0562437
470	470	0.0117114	148.099	162.958	-0.0956094	0.398213
472	472	0.00733916	146.494	140.079	0.0447764	0.515582
491	491	0.00593379	146.024	124.923	0.156076	0.608633
493	493	0.00687071	146.183	107.199	0.31017	0.737463
500	500	0.0104622	146.761	231.984	-0.457861	0.0953541
504	504	0.00702686	145.237	285.242	-0.674973	-0.0861612
521	521	0.0220175	143.779	177.491	-0.210643	-0.108005
529	529	0.00405996	137.497	169.962	-0.211967	0.300933
532	532	0.164116	158.115	123.488	0.247172	-0.701392
534	534	0.473298	136.329	185.168	-0.306191	-0.439002
535	535	0.465959	130.67	188.334	-0.365542	-0.537812
536	536	0.00718301	73.3587	142.806	-0.666124	-0.0787625
538	538	0.468301	132.624	186.56	-0.341237	-0.497349
540	540	0.00608994	80.292	305.701	-1.33694	-0.639593
545	545	0.0416927	85.2124	176.375	-0.727464	0.170061
547	547	0.663492	328.664	114.207	1.05702	0.279512
550	550	0.195191	103.921	370.338	-1.27078	-1.2769
554	554	0.0115553	93.3314	409.15	-1.47793	-0.757466
564	564	0.00468457	93.2465	202.037	-0.773203	-0.168286
565	565	0.0107745	94.3247	242.348	-0.943632	-0.310772
575	575	0.0032792	93.0912	252.574	-0.998124	-0.35633
585	585	0.0154591	93.5244	261.316	-1.02751	-0.380896
588	588	0.0131168	92.2713	205.567	-0.801037	-0.191556
596	596	0.00546533	89.5263	63.0082	0.351268	0.771823
599	599	0.0629294	93.0601	78.3384	0.172207	0.582066
600	600	0.013273	84.78	183.744	-0.773483	-0.16852
605	605	0.634447	259.838	95.2931	1.0031	0.38809
609	609	0.0135853	67.9325	32.4758	0.73802	1.09517
610	610	0.0124922	67.4613	17.4697	1.35109	1.60772
611	611	0.0318551	68.2492	57.6873	0.168128	0.192997
612	612	0.0457527	68.7123	32.2634	0.755994	1.94209
613	613	0.286852	93.4193	108.811	-0.152515	1.7008
616	616	0.0168645	57.1629	29.1187	0.674526	1.04208
619	619	0.00671455	56.1316	90.7923	-0.480875	0.0761135
621	621	0.0312305	58.9468	39.9463	0.389099	0.368599
623	623	0.0148345	57.4887	31.6939	0.595466	0.975983
624	624	0.532324	163.558	83.3286	0.674376	1
627	627	0.226265	61.7277	299.921	-1.58079	-1.04719
628	628	0.071674	54.284	27.1691	0.69215	1.10234
629	629	0.00827608	48.9286	516.081	-2.3559	-1.49149
630	630	0.00640225	48.9206	146.61	-1.09758	-0.439479
631	631	0.499375	142.871	93.075	0.428537	0.359938
634	634	0.0117114	53.7405	23.8292	0.813257	1.15807
635	635	0.70737	383.017	55.6	1.9299	1.32652
636	636	0.0131168	53.7156	265.016	-1.59609	-0.856255
637	637	0.0062461	52.5459	154.727	-1.07997	-0.42476
638	638	0.0685509	60.0098	287.414	-1.56642	-1.15765
639	639	0.0118676	55.5203	156.507	-1.03635	-0.38829
641	641	0.00749532	55.5646	70.9275	-0.244111	0.274059
643	643	0.669113	345.727	68.903	1.61295	1.13589
644	644	0.0188944	60.5037	154.995	-0.940686	-0.308309
646	646	0.00577764	59.447	185.062	-1.13561	-0.471271
648	648	0.00421611	59.3956	212.466	-1.27456	-0.587446
652	652	0.375547	125.767	156.217	-0.21681	1.1802
663	663	0.155059	88.367	144.833	-0.494085	-0.86314
664	664	0.674578	368.266	77.3597	1.56034	1.05485
673	673	0.00484072	68.8643	188.037	-1.0045	-0.361663
678	678	0.0065584	69.0708	501.98	-1.98343	-1.18009
681	681	0.0246721	70.5904	413.124	-1.76685	-1.3447
682	682	0.45253	184.964	134.921	0.315472	0.464897
683	683	0.45253	184.964	134.921	0.315472	0.464897
695	695	0.0137414	69.8192	579.028	-2.11544	-1.29046
698	698	0.440974	178.269	139.555	0.244832	0.308293
702	702	0.259213	133.616	134.565	-0.00708042	1.00481
717	717	0.00827608	76.2993	541.273	-1.95926	-1.15988
719	719	0.962055	195.04	81.9377	0.867247	-0.707107
720	720	0.962055	195.04	81.9377	0.867247	-0.707107
721	721	0.135072	102.431	71.1929	0.363793	-0.318106
725	725	0.0847908	91.0283	187.039	-0.720148	-1.3276
728	728	0.00452842	81.805	538.275	-1.88403	-1.09699
729	729	0.63757	336.184	97.2672	1.2402	0.867578
734	734	0.0257651	81.2523	529.159	-1.87373	-1.42963
737	737	0.621018	309.082	119.631	0.949191	0.279061
741	741	0.00374766	83.6131	228.514	-1.0054	-0.36241
743	743	0.240319	126.126	327.095	-0.952969	-0.305919
745	745	0.0151468	87.9694	625.801	-1.96204	-1.16221
747	747	0.697377	472.16	105.225	1.50122	0.740024
749	749	0.00484072	93.2646	199.509	-0.760418	-0.157597
753	753	0.00780762	94.6197	766.533	-2.09201	-1.27087
754	754	0.0062461	96.8983	1204.1	-2.51983	-1.62854
758	758	0.0131168	100.212	382.632	-1.33978	-0.641973
759	759	0.0131168	100.212	382.632	-1.33978	-0.641973
761	761	0.684416	514.556	109.724	1.54533	0.829211
764	764	0.203935	142.962	486.132	-1.2239	-1.47965
766	766	0.200812	141.649	501.316	-1.26389	-1.51074
772	772	0.0168645	115.709	65.6298	0.567046	0.952223
773	773	0.0206121	116.386	56.2075	0.727863	0.637809
774	774	0.0209244	116.45	55.0611	0.749019	0.654622
782	782	0.00530918	113.969	62.5476	0.600001	0.979775
799	799	0.503435	260.172	172.871	0.408798	1
802	802	0.0599625	124.161	343.465	-1.01751	-0.176401
812	812	0.00405996	109.723	664.092	-1.80046	-1.02712
813	813	0.0124922	111.082	747.087	-1.90591	-1.11528
816	816	0.2094	147.289	438.115	-1.09009	-1.37559
821	821	0.0131168	115.549	388.422	-1.2124	-0.535473
823	823	0.0032792	113.347	282.329	-0.912619	-0.284844
825	825	0.20128	167.578	56.8045	1.08183	0.313377
826	826	0.21143	171.624	51.6945	1.19996	0.405233
827	827	0.00577764	100.853	99.6669	0.011832	0.488039
829	829	0.213929	172.389	50.2583	1.23258	0.430601
831	831	0.214866	172.686	49.7083	1.2453	0.440495
832	832	0.0588695	113.658	323.458	-1.04588	-0.210291
833	833	0.00359151	100.626	137.437	-0.311755	0.217506
834	834	0.211118	172.017	48.7066	1.26178	0.453309
835	835	0.21549	173.552	45.1631	1.3462	0.518957
836	836	0.00390381	100.426	89.7808	0.11205	0.571826
837	837	0.212523	172.825	45.6986	1.33021	0.506522
838	838	0.0032792	101.067	144.868	-0.360044	0.177134
839	839	0.0145222	103.265	59.522	0.550953	0.938768
840	840	0.190194	163.269	47.0007	1.24524	0.539614
842	842	0.109775	136.857	59.9662	0.825152	0.60521
843	843	0.0118676	109.945	288.809	-0.965783	-0.329291
846	846	0.0131168	110.534	343.077	-1.13263	-0.468782
847	847	0.020456	112.121	246.378	-0.787289	-0.566257
